	WT	pH	NH4+-N	TN	NO3-	TP	NO2-	PO43-	COD	SD
N7_4	21.4	7.32	0.1614	2.723	1.25	0.08224	0.043	0.013	4.186915888	0.926762911
N7_4D	25.2	8.78	0.1364	1.822	0.85	0.085	0.038	0.006	5.384615385	0.851576993
N7_5	27.1	8.92	0.16592	1.098	0.25	0.076	0.027	0.006	3.352380952	0.849178963
N7_5D	24.7	7.58	0.19544	1.985	0.95	0.192	0.049	0.006	5.333333333	0.708585223
N7_6	30.1	8.37	0.13848	1.23	0.3	0.124	0.025	0.003	5.615384615	0.839818563
N7_6D	32.5	7.95	0.15588	1.139	0.05	0.096	0.002	0	6.37037037	0.966395224
N7_7	30.8	7.55	0.23824	0.477	0	0.058	0.005	0.014	5.825242718	1.018625463
N7_7D	32.6	8.28	0.53244	0.567	0.05	0.074	0	0.004	11.39823009	1.036633838
N7_8	32.2	8.62	0.2088	0.697	0.3	0.073	0.008	0.009	5.076923077	1.020075819
N7_8D	28.7	8.19	0.17724	0.918	0.1	0.099	0.012	0.036	5.3419	0.856200052
N7_9	33.9	7.67	0.29988	0.562	0	0.069	0	0.011	5.555555556	1.073611082
N7_9D	31	8.39	0.4784	0.905	0.059	0.06	0.00512	0.01244	4.905660377	1.067630626
N7_10	30.8	8.54	0.31712	0.817	0.091	0.126	0.223	0.01256	5.682242991	1.018625463
N7_10D	22.3	7.93	1.11712	1.41	0.13	0.214	0.008	0.161	3.1	0.953917143
N7_11	19.1	8.82	0.167	1.25	0.35	0.162	0.023	0.081	5.7	0.966783621
N7_11D	15.2	9.33	0.1	1.08	0.278	0.175	0.013	0.065	8.3	0.98536233
N7_12	15.6	9.24	0.003	0.66	0.127	0.141	0.008	0.069	6.3	0.908386075
N7_12D	12.4	9.19	0.112	1.07	0.106	0.052	0.002	0.039	8.6	0.879661642
N7_1	10.6	8.32	0.155	0.85	0.16	0.107	0.004	0.02	6.1	0.915192689
N7_1D	11.1	8.84	0.235	1.31	0.287	0.174	0.014	0.012	7.2	0.805637486
N7_2	10.8	8.53	1.55	5.05	2.8	0.234	0.117	0.027	5.1	0.465346853
N7_2D	19.1	8.15	1.32	3.29	1.75	0.072	0.074	0.009	14.4	0.774829643
N7_3	18.8	5.87	0.422	2.57	1.81	0.081	0.07	0.005	3.8	0.988319423
